pred_H_params,surrogate_H_params,target_H_params,sigma_for_gauss,simulation_time,Sample
"{'qubit_frequency_GHz': 3.5432313052758673, 'anharmonicity_MHz': -109.22145630173041}","{'qubit_frequency_GHz': 3.4825, 'anharmonicity_MHz': -104.865}","{'qubit_frequency_GHz': 4.37397, 'anharmonicity_MHz': -172.314}",40.0,225.5517096000258,50
"{'qubit_frequency_GHz': 12.906800237062399, 'anharmonicity_MHz': -4170.778622887137}","{'qubit_frequency_GHz': 10.7594, 'anharmonicity_MHz': -1052.92}","{'qubit_frequency_GHz': 5.44074, 'anharmonicity_MHz': -279.744}",40.0,157.07182050007395,51
"{'qubit_frequency_GHz': 4.427193009284075, 'anharmonicity_MHz': -176.9386102746804}","{'qubit_frequency_GHz': 4.35867, 'anharmonicity_MHz': -171.159}","{'qubit_frequency_GHz': 4.58312, 'anharmonicity_MHz': -190.914}",40.0,88.65554780000821,52
"{'qubit_frequency_GHz': 6.45868444338328, 'anharmonicity_MHz': -415.0170242433795}","{'qubit_frequency_GHz': 6.3273, 'anharmonicity_MHz': -397.169}","{'qubit_frequency_GHz': 5.44074, 'anharmonicity_MHz': -279.744}",40.0,77.1731446001213,53
"{'qubit_frequency_GHz': 3.2527309306701504, 'anharmonicity_MHz': -90.98126207172541}","{'qubit_frequency_GHz': 3.25491, 'anharmonicity_MHz': -91.3399}","{'qubit_frequency_GHz': 3.5967, 'anharmonicity_MHz': -112.787}",40.0,122.87680700002238,54
"{'qubit_frequency_GHz': 5.067778472203473, 'anharmonicity_MHz': -238.5381622439926}","{'qubit_frequency_GHz': 5.10714, 'anharmonicity_MHz': -243.143}","{'qubit_frequency_GHz': 3.89026, 'anharmonicity_MHz': -133.55}",40.0,99.94031270011328,55
"{'qubit_frequency_GHz': 3.645526501654002, 'anharmonicity_MHz': -116.10047986388317}","{'qubit_frequency_GHz': 3.58054, 'anharmonicity_MHz': -111.614}","{'qubit_frequency_GHz': 4.37397, 'anharmonicity_MHz': -172.314}",40.0,97.21066009998322,56
"{'qubit_frequency_GHz': 3.412386345209745, 'anharmonicity_MHz': -100.771194541732}","{'qubit_frequency_GHz': 3.34922, 'anharmonicity_MHz': -96.6797}","{'qubit_frequency_GHz': 3.44898, 'anharmonicity_MHz': -103.096}",40.0,132.41518979985267,57
"{'qubit_frequency_GHz': 3.118872129633484, 'anharmonicity_MHz': -83.2064100959613}","{'qubit_frequency_GHz': 2.92687, 'anharmonicity_MHz': -68.3631}","{'qubit_frequency_GHz': 3.59422, 'anharmonicity_MHz': -112.62}",40.0,229.69939720002003,58
"{'qubit_frequency_GHz': 3.192068600454789, 'anharmonicity_MHz': -87.40934323557426}","{'qubit_frequency_GHz': 3.01382, 'anharmonicity_MHz': -74.1378}","{'qubit_frequency_GHz': 3.2221, 'anharmonicity_MHz': -89.1677}",40.0,121.16995200002566,59
