Sample,pred_H_params,ref_H_params,simulation_time
80,"{'qubit_frequency_GHz': 3.6993261692614148, 'anharmonicity_MHz': -119.81554936917505}","{'qubit_frequency_GHz': 3.6471672, 'anharmonicity_MHz': -116.21279}",131.7853553001769
81,"{'qubit_frequency_GHz': 3.4599308265939754, 'anharmonicity_MHz': -103.79683174530285}","{'qubit_frequency_GHz': 3.402678, 'anharmonicity_MHz': -100.159645}",123.18009319994599
82,"{'qubit_frequency_GHz': 4.36195420811384, 'anharmonicity_MHz': -171.27951618468984}","{'qubit_frequency_GHz': 4.3739724, 'anharmonicity_MHz': -172.31378}",107.01058650016785
83,"{'qubit_frequency_GHz': 4.3405854147278795, 'anharmonicity_MHz': -169.44969200158155}","{'qubit_frequency_GHz': 4.3621836, 'anharmonicity_MHz': -171.29921}",219.5920631000772
84,"{'qubit_frequency_GHz': 5.054075824915646, 'anharmonicity_MHz': -237.10169891245414}","{'qubit_frequency_GHz': 5.0580363, 'anharmonicity_MHz': -237.51631}",89.88728310004808
85,"{'qubit_frequency_GHz': 3.503869789556859, 'anharmonicity_MHz': -106.63850499281757}","{'qubit_frequency_GHz': 3.449495, 'anharmonicity_MHz': -103.12834}",95.51428119977936
86,"{'qubit_frequency_GHz': 4.889156246537613, 'anharmonicity_MHz': -220.23045133525443}","{'qubit_frequency_GHz': 4.9002905, 'anharmonicity_MHz': -221.34541}",106.68332119984552
87,"{'qubit_frequency_GHz': 3.3116822282035283, 'anharmonicity_MHz': -94.5300933570774}","{'qubit_frequency_GHz': 3.221902, 'anharmonicity_MHz': -89.15591}",131.73297820007429
88,"{'qubit_frequency_GHz': 3.9760110364706627, 'anharmonicity_MHz': -140.00121465706528}","{'qubit_frequency_GHz': 3.9586935, 'anharmonicity_MHz': -138.68402}",120.46994010009803
89,"{'qubit_frequency_GHz': 4.272154719279438, 'anharmonicity_MHz': -163.6683436749724}","{'qubit_frequency_GHz': 4.287935, 'anharmonicity_MHz': -164.99094}",101.86416729982011
90,"{'qubit_frequency_GHz': 3.8083492176501323, 'anharmonicity_MHz': -127.5519668251448}","{'qubit_frequency_GHz': 3.7627828, 'anharmonicity_MHz': -124.28445}",105.59783610003069
91,"{'qubit_frequency_GHz': 3.345605678682638, 'anharmonicity_MHz': -96.60719499418136}","{'qubit_frequency_GHz': 3.2609215, 'anharmonicity_MHz': -91.46975}",106.73812539991923
92,"{'qubit_frequency_GHz': 5.200673843273979, 'anharmonicity_MHz': -252.75064022213024}","{'qubit_frequency_GHz': 5.193966, 'anharmonicity_MHz': -252.02098}",91.94391779997386
93,"{'qubit_frequency_GHz': 4.038587909837208, 'anharmonicity_MHz': -144.8217457993337}","{'qubit_frequency_GHz': 4.032185, 'anharmonicity_MHz': -144.3241}",120.4007511001546
94,"{'qubit_frequency_GHz': 4.03856588791324, 'anharmonicity_MHz': -144.82003254557796}","{'qubit_frequency_GHz': 4.028899, 'anharmonicity_MHz': -144.06914}",99.15804719994776
95,"{'qubit_frequency_GHz': 3.377611924560137, 'anharmonicity_MHz': -98.59043064198403}","{'qubit_frequency_GHz': 3.3058271, 'anharmonicity_MHz': -94.17418}",111.23869469994679
96,"{'qubit_frequency_GHz': 4.340175908906865, 'anharmonicity_MHz': -169.41473992845778}","{'qubit_frequency_GHz': 4.3617473, 'anharmonicity_MHz': -171.26173}",218.45551030011848
97,"{'qubit_frequency_GHz': 3.8068224033686278, 'anharmonicity_MHz': -127.44168514238474}","{'qubit_frequency_GHz': 3.760796, 'anharmonicity_MHz': -124.143105}",115.61494030011818
98,"{'qubit_frequency_GHz': 3.692639903145359, 'anharmonicity_MHz': -119.35016634960505}","{'qubit_frequency_GHz': 3.6406205, 'anharmonicity_MHz': -115.76505}",133.33088619983755
99,"{'qubit_frequency_GHz': 4.173753081574082, 'anharmonicity_MHz': -155.5625036481896}","{'qubit_frequency_GHz': 4.183774, 'anharmonicity_MHz': -156.37688}",95.49621209991165
