sample_idx,param,ref_unscaled,pred_unscaled,abs_error_unscaled,sq_error_unscaled
40,bottom_to_bottom,84.3501,86.1528,1.80268,3.24966
40,bottom_to_ground,58.251,59.8519,1.60082,2.56262
40,ground_to_ground,123.78,123.283,0.496517,0.246529
41,top_to_top,18.4724,19.4332,0.960783,0.923104
41,top_to_bottom,2.73292,3.38366,0.650737,0.423458
41,top_to_ground,15.495,15.5286,0.0335621,0.00112641
41,bottom_to_bottom,22.9599,23.5216,0.561693,0.315499
41,bottom_to_ground,19.9186,19.8822,0.0364555,0.001329
41,ground_to_ground,67.2247,67.1842,0.0404578,0.00163683
42,top_to_top,15.6964,17.4561,1.75973,3.09664
42,top_to_bottom,0.83998,2.55599,1.71601,2.94468
42,top_to_ground,14.6449,14.4393,0.20559,0.0422672
42,bottom_to_bottom,14.6748,18.535,3.86021,14.9012
42,bottom_to_ground,13.642,16.0505,2.40849,5.80083
42,ground_to_ground,59.0111,61.805,2.79399,7.80638
43,top_to_top,28.1919,26.7402,1.4517,2.10744
43,top_to_bottom,6.56601,6.40611,0.159896,0.0255669
43,top_to_ground,21.3398,19.6852,1.65461,2.73772
43,bottom_to_bottom,27.1646,27.9848,0.820149,0.672644
43,bottom_to_ground,20.2321,22.3049,2.07278,4.29644
43,ground_to_ground,74.0118,74.3681,0.356351,0.126986
44,top_to_top,44.2143,43.8651,0.349237,0.121967
44,top_to_bottom,20.9187,20.5651,0.353606,0.125038
44,top_to_ground,22.9552,22.817,0.138227,0.0191068
44,bottom_to_bottom,67.6172,65.8335,1.7837,3.18158
44,bottom_to_ground,46.0962,44.4914,1.6048,2.57537
44,ground_to_ground,104.084,102.354,1.7299,2.99257
45,top_to_top,31.2422,30.6952,0.54697,0.299176
45,top_to_bottom,9.13548,9.34858,0.213104,0.0454134
45,top_to_ground,21.7638,20.5897,1.17402,1.37832
45,bottom_to_bottom,34.914,36.138,1.22407,1.49836
45,bottom_to_ground,25.3839,27.1267,1.74281,3.0374
45,ground_to_ground,79.554,80.716,1.16196,1.35016
46,top_to_top,44.2376,43.179,1.05856,1.12055
46,top_to_bottom,16.8684,17.5657,0.697274,0.486191
46,top_to_ground,27.0805,25.6389,1.44164,2.07834
46,bottom_to_bottom,63.863,66.2206,2.3576,5.5583
46,bottom_to_ground,46.3748,48.1862,1.81138,3.28108
46,ground_to_ground,108.493,107.583,0.910298,0.828642
47,top_to_top,48.1948,49.4674,1.27257,1.61942
47,top_to_bottom,18.9717,20.0999,1.12819,1.27281
47,top_to_ground,28.8344,29.9609,1.12655,1.26912
47,bottom_to_bottom,80.4632,82.6446,2.18143,4.75865
47,bottom_to_ground,60.6007,62.4823,1.88156,3.54028
47,ground_to_ground,125.754,126.763,1.00825,1.01657
48,top_to_top,18.9451,18.807,0.138179,0.0190934
48,top_to_bottom,0.89281,2.30528,1.41247,1.99508
48,top_to_ground,17.7952,15.8596,1.93557,3.74641
48,bottom_to_bottom,16.9026,19.7569,2.85431,8.14706
48,bottom_to_ground,15.7491,17.9693,2.22021,4.92933
48,ground_to_ground,65.5983,65.6113,0.0130034,0.000169088
49,top_to_top,62.7158,61.7907,0.925058,0.855733
49,top_to_bottom,31.1946,32.3696,1.17503,1.38069
49,top_to_ground,31.0814,30.5502,0.531153,0.282123
49,bottom_to_bottom,80.2286,88.242,8.01333,64.2135
49,bottom_to_ground,48.6411,55.6323,6.99118,48.8766
49,ground_to_ground,115.722,119.114,3.39172,11.5038
