sample_idx,param,ref_unscaled,pred_unscaled,abs_error_unscaled,sq_error_unscaled,ansys_unscaled
37,cross_to_claw,2.92829,3.03647,0.108177,0.0117022,2.9077
37,cross_to_cross,194.212,194.495,0.283261,0.0802371,193.129
37,claw_to_claw,82.5874,82.5485,0.0389023,0.00151339,79.86814
37,ground_to_ground,340.336,339.141,1.1947,1.4273,330.96809
38,cross_to_ground,142.5,142.495,0.00498169,2.48173e-05,138.12642
38,claw_to_ground,80.3076,80.1797,0.127958,0.0163732,77.51289
38,cross_to_claw,3.01723,3.18667,0.169439,0.0287095,3.02246
38,cross_to_cross,142.5,142.497,0.00284546,8.09666e-06,143.42317
38,claw_to_claw,83.7106,83.7819,0.0713114,0.00508531,80.88505
38,ground_to_ground,282.094,279.563,2.53123,6.40712,274.16206
39,cross_to_ground,185.993,185.761,0.231371,0.0535324,180.47101
39,claw_to_ground,98.0671,97.7624,0.3047,0.0928423,94.90254
39,cross_to_claw,4.17102,4.33765,0.166634,0.0277668,4.14807
39,cross_to_cross,185.993,185.745,0.248323,0.0616644,187.10694
39,claw_to_claw,102.615,102.47,0.145207,0.0210852,99.43799
39,ground_to_ground,350.527,348.176,2.35081,5.52632,341.12519
40,cross_to_ground,186.708,186.479,0.228918,0.0524033,183.46942
40,claw_to_ground,119.225,119.357,0.132071,0.0174427,117.50094
40,cross_to_claw,8.69031,8.57883,0.111477,0.0124272,8.25312
40,cross_to_cross,186.708,186.42,0.288152,0.0830317,194.27568
40,claw_to_claw,128.477,128.358,0.118977,0.0141554,126.21619
40,ground_to_ground,373.156,371.396,1.76047,3.09924,367.53505
41,cross_to_ground,93.7133,95.0126,1.29937,1.68835,92.69877
41,claw_to_ground,92.442,93.4288,0.986818,0.97381,90.23655
41,cross_to_claw,6.39665,6.72852,0.331875,0.110141,6.38588
41,cross_to_cross,93.7133,95.0746,1.36139,1.85337,101.11777
41,claw_to_claw,99.3924,100.575,1.18225,1.39772,97.15407
41,ground_to_ground,236.824,237.315,0.490823,0.240907,233.67544
42,cross_to_ground,158.003,158.6,0.597066,0.356488,153.79973
42,claw_to_ground,86.6498,86.6067,0.0431458,0.00186156,84.14754
42,cross_to_claw,4.77891,4.78049,0.00157611,2.48411e-06,4.53257
42,cross_to_cross,158.003,158.586,0.58283,0.33969,160.714
42,claw_to_claw,91.8231,91.7822,0.0409197,0.00167442,89.10112
42,ground_to_ground,305.876,304.9,0.975992,0.95256,298.81663
43,cross_to_ground,121.35,120.937,0.412412,0.170084,118.97728
43,claw_to_ground,55.8194,56.1277,0.308308,0.0950541,54.51395
43,cross_to_claw,2.33458,2.24241,0.0921717,0.00849563,2.13797
43,cross_to_cross,121.35,120.982,0.36749,0.135049,123.32732
43,claw_to_claw,58.4176,58.6839,0.266253,0.0708907,57.02878
43,ground_to_ground,232.363,230.014,2.34909,5.51824,228.48556
44,cross_to_ground,135.979,136.229,0.249985,0.0624925,133.94373
44,claw_to_ground,75.8848,76.5025,0.617732,0.381593,74.75581
44,cross_to_claw,4.23694,4.17456,0.0623847,0.00389185,4.00587
44,cross_to_cross,135.979,136.222,0.243271,0.0591809,140.21853
44,claw_to_claw,80.4831,81.0917,0.608605,0.3704,79.12161
44,ground_to_ground,270.329,268.696,1.63277,2.66595,266.38476
45,cross_to_ground,101.585,101.908,0.322863,0.104241,99.41971
45,claw_to_ground,89.394,89.4246,0.0305734,0.000934735,86.4359
